"","age","job","marital","education","default","balance","housing","loan","contact","y"
"19397",40,"blue-collar","married","secondary","no",5060,"no","no","cellular","yes"
"12381",35,"management","married","unknown","no",1128,"yes","no","unknown","no"
"13804",71,"retired","single","tertiary","no",1285,"no","no","telephone","no"
"16081",52,"blue-collar","divorced","primary","no",-191,"yes","no","unknown","yes"
"20101",38,"blue-collar","married","primary","no",1852,"yes","no","cellular","yes"
"14667",39,"blue-collar","single","primary","no",1530,"yes","no","unknown","no"
"12826",53,"management","married","tertiary","no",3443,"yes","no","unknown","no"
"12156",39,"management","married","tertiary","no",-190,"no","yes","unknown","yes"
"21490",58,"retired","married","secondary","no",3648,"no","no","cellular","no"
"17813",31,"technician","single","secondary","no",846,"no","no","cellular","yes"
"11671",33,"technician","married","secondary","no",-534,"yes","yes","cellular","no"
"12278",35,"blue-collar","divorced","secondary","yes",-12,"no","yes","unknown","no"
"19889",64,"retired","divorced","primary","no",109,"no","no","cellular","yes"
"20717",42,"blue-collar","married","primary","no",1461,"yes","no","cellular","yes"
"17494",51,"unknown","single","unknown","no",0,"no","no","unknown","no"
"10633",55,"housemaid","married","primary","no",2152,"no","no","unknown","yes"
"15116",44,"management","married","primary","no",4758,"yes","no","cellular","yes"
"13086",37,"management","married","tertiary","no",1330,"yes","no","unknown","no"
"15713",33,"management","married","secondary","no",4040,"yes","no","cellular","no"
"21966",33,"services","divorced","secondary","no",991,"yes","no","unknown","no"
"17216",36,"technician","single","secondary","no",210,"no","no","cellular","no"
"21820",36,"blue-collar","married","primary","no",4693,"yes","no","cellular","no"
"17477",36,"management","married","tertiary","no",86,"yes","no","cellular","no"
"19931",34,"blue-collar","married","primary","no",1255,"yes","yes","unknown","no"
"12468",34,"technician","single","secondary","no",-476,"yes","no","unknown","no"
"16434",52,"blue-collar","married","tertiary","no",297,"yes","no","cellular","no"
"15860",34,"admin.","single","secondary","no",1,"yes","no","cellular","no"
"10747",49,"management","married","tertiary","no",934,"no","yes","cellular","no"
"21429",35,"management","single","tertiary","no",538,"no","no","cellular","yes"
"15919",49,"technician","married","secondary","no",307,"no","no","cellular","yes"
"21499",29,"technician","single","tertiary","no",910,"yes","no","cellular","no"
"20386",30,"blue-collar","married","secondary","no",1664,"yes","no","telephone","yes"
"13170",61,"retired","married","tertiary","no",3140,"yes","yes","cellular","yes"
"17987",35,"management","married","tertiary","no",646,"yes","no","cellular","no"
"18951",53,"entrepreneur","married","tertiary","no",420,"yes","no","unknown","no"
"14858",78,"retired","married","unknown","no",38,"no","no","telephone","no"
"17424",29,"management","single","tertiary","no",1808,"no","no","cellular","yes"
"16924",24,"technician","single","secondary","no",246,"yes","yes","cellular","no"
"20665",28,"management","single","tertiary","no",2253,"yes","no","unknown","no"
"19963",41,"blue-collar","married","primary","no",-252,"yes","no","unknown","no"
"13678",58,"admin.","married","secondary","no",0,"no","no","cellular","no"
"15738",60,"admin.","married","secondary","no",3735,"no","no","cellular","yes"
"19674",47,"housemaid","married","tertiary","no",333,"no","no","telephone","no"
"14158",57,"technician","married","secondary","no",7554,"no","no","telephone","yes"
"14558",35,"services","married","secondary","no",1659,"yes","no","unknown","no"
"16340",32,"management","single","tertiary","no",135,"yes","yes","cellular","no"
"20542",33,"services","single","secondary","no",148,"yes","no","cellular","no"
"13550",41,"blue-collar","single","primary","no",156,"yes","no","unknown","no"
"16617",39,"blue-collar","single","secondary","no",0,"no","no","cellular","yes"
"13414",38,"blue-collar","single","secondary","no",0,"no","no","unknown","no"
"17676",48,"blue-collar","married","secondary","no",1000,"yes","no","unknown","yes"
"16708",29,"blue-collar","married","unknown","yes",163,"yes","yes","cellular","no"
"12918",30,"self-employed","single","tertiary","no",800,"no","no","unknown","no"
"22146",76,"retired","divorced","primary","no",2693,"no","no","cellular","no"
"20645",35,"admin.","divorced","secondary","no",-101,"yes","yes","cellular","no"
"22162",30,"blue-collar","married","secondary","no",321,"yes","no","cellular","no"
"11754",27,"technician","single","secondary","no",905,"yes","yes","cellular","no"
"19734",43,"unemployed","married","tertiary","no",0,"no","no","cellular","yes"
"12245",27,"student","single","secondary","no",1423,"no","no","unknown","no"
"18108",58,"management","divorced","tertiary","no",26254,"yes","no","cellular","no"
"11781",57,"unemployed","divorced","secondary","no",3,"no","no","cellular","no"
"22288",39,"blue-collar","married","secondary","no",161,"yes","no","cellular","no"
"21408",36,"technician","married","secondary","no",594,"no","yes","cellular","no"
"21954",33,"blue-collar","single","primary","no",127,"yes","no","unknown","yes"
"19182",47,"admin.","single","tertiary","no",178,"no","no","telephone","no"
"19707",58,"blue-collar","married","secondary","no",144,"no","yes","cellular","no"
"22106",30,"blue-collar","single","secondary","no",161,"no","yes","telephone","yes"
"16964",31,"technician","single","tertiary","no",53,"no","no","cellular","no"
"12327",64,"retired","married","secondary","no",1574,"no","no","telephone","yes"
"16422",53,"blue-collar","single","unknown","no",160,"yes","no","cellular","no"
"20615",38,"housemaid","divorced","secondary","no",70,"no","no","cellular","yes"
"11855",29,"technician","single","secondary","no",3466,"no","no","cellular","yes"
"16891",28,"blue-collar","married","tertiary","no",902,"yes","no","telephone","no"
"18595",25,"student","single","unknown","no",480,"no","no","cellular","yes"
"16462",45,"management","married","tertiary","no",0,"no","no","cellular","no"
"11810",33,"admin.","married","secondary","no",855,"no","no","cellular","yes"
"10805",47,"blue-collar","married","secondary","no",238,"yes","yes","cellular","yes"
"15436",35,"management","divorced","tertiary","no",1723,"yes","no","cellular","yes"
"15236",31,"management","single","tertiary","no",9506,"no","no","cellular","no"
"17512",31,"management","married","tertiary","no",1343,"yes","yes","unknown","no"
"13908",34,"management","single","tertiary","no",2455,"no","no","cellular","no"
"22450",24,"student","single","secondary","no",431,"no","no","cellular","yes"
"21357",49,"entrepreneur","married","secondary","yes",-178,"no","yes","unknown","no"
"11196",33,"self-employed","single","tertiary","no",658,"yes","no","cellular","yes"
"18240",28,"management","divorced","tertiary","no",229,"yes","no","cellular","yes"
"16035",32,"technician","single","tertiary","no",696,"no","yes","cellular","no"
"14554",34,"technician","single","secondary","no",95,"no","no","cellular","no"
"18256",35,"technician","single","secondary","no",362,"yes","no","cellular","no"
"15857",41,"management","divorced","tertiary","no",3355,"no","no","cellular","no"
"15184",30,"management","married","tertiary","no",1384,"yes","no","telephone","no"
"20623",25,"entrepreneur","single","primary","no",-65,"yes","no","unknown","no"
"19353",67,"management","married","unknown","no",65,"no","no","cellular","no"
"15486",29,"student","single","secondary","no",48,"no","no","cellular","no"
"21346",60,"retired","divorced","secondary","no",1099,"no","no","cellular","yes"
"22700",45,"self-employed","married","secondary","no",830,"no","no","cellular","no"
"21826",38,"technician","single","secondary","no",1711,"no","no","telephone","yes"
"16430",47,"unemployed","married","secondary","no",817,"no","no","cellular","yes"
"17841",47,"blue-collar","married","primary","no",362,"yes","no","cellular","no"
"12129",41,"blue-collar","married","secondary","no",10,"yes","no","cellular","no"
"12472",31,"management","single","tertiary","no",1858,"no","no","cellular","yes"
"10239",31,"management","married","tertiary","no",477,"yes","no","cellular","no"
"17698",33,"management","married","tertiary","no",334,"no","no","cellular","no"
"10950",24,"blue-collar","married","secondary","no",142,"yes","yes","unknown","no"
"21151",34,"management","married","tertiary","no",19391,"no","no","cellular","no"
"19018",28,"blue-collar","single","primary","no",54,"yes","no","cellular","yes"
"17589",58,"unemployed","married","secondary","no",610,"yes","no","telephone","no"
"20951",40,"management","married","tertiary","no",655,"yes","no","unknown","no"
"15137",54,"technician","married","secondary","no",0,"no","no","telephone","yes"
"19144",26,"management","single","tertiary","no",3,"yes","yes","cellular","yes"
"17009",48,"management","married","primary","no",312,"no","no","cellular","no"
"18668",30,"technician","single","secondary","no",19,"yes","no","cellular","no"
"19434",29,"blue-collar","married","secondary","no",25,"yes","no","cellular","no"
"17290",28,"blue-collar","married","secondary","no",1827,"yes","no","unknown","no"
"13252",45,"management","divorced","tertiary","no",1,"no","no","cellular","yes"
"14147",58,"management","divorced","secondary","no",10180,"no","no","cellular","yes"
"15213",25,"technician","single","secondary","no",139,"no","yes","cellular","yes"
"15030",40,"admin.","single","secondary","no",90,"yes","no","unknown","no"
"18731",36,"technician","married","secondary","no",2473,"no","no","cellular","yes"
"19982",27,"technician","married","secondary","no",-302,"yes","no","unknown","no"
"19279",41,"technician","married","secondary","no",801,"no","no","cellular","no"
"15416",26,"unemployed","single","tertiary","no",23494,"no","no","cellular","no"
"20062",59,"admin.","married","unknown","no",64343,"no","no","cellular","no"
"15187",36,"admin.","divorced","secondary","no",506,"yes","no","unknown","no"
"18365",40,"housemaid","divorced","secondary","no",1194,"yes","no","cellular","no"
"13891",47,"services","married","secondary","no",405,"no","yes","cellular","yes"
"15211",26,"self-employed","single","tertiary","no",25,"no","no","cellular","no"
"12753",32,"admin.","divorced","secondary","no",-273,"yes","no","cellular","no"
"20248",52,"admin.","married","secondary","no",192,"no","yes","unknown","no"
"16736",29,"technician","single","secondary","no",577,"yes","no","cellular","no"
"19061",32,"technician","married","secondary","no",-203,"yes","no","cellular","no"
"16628",34,"admin.","married","secondary","no",1551,"yes","yes","cellular","no"
"12554",53,"technician","married","secondary","no",879,"no","no","cellular","no"
"13218",57,"services","divorced","secondary","no",14,"no","yes","cellular","no"
"13638",44,"management","married","tertiary","no",756,"yes","no","cellular","no"
"19356",24,"management","single","tertiary","no",2845,"no","no","cellular","yes"
"10764",41,"management","married","tertiary","no",7028,"no","no","cellular","no"
"17903",29,"blue-collar","single","unknown","no",913,"yes","no","telephone","no"
"14606",57,"technician","married","secondary","no",295,"no","no","cellular","no"
"10082",52,"management","single","tertiary","no",597,"no","no","cellular","no"
"22868",22,"student","single","unknown","no",1232,"no","no","cellular","yes"
"22831",48,"blue-collar","married","secondary","no",1596,"yes","no","unknown","yes"
"11950",31,"technician","single","tertiary","no",948,"yes","no","unknown","no"
"21585",33,"management","single","tertiary","no",7084,"no","no","cellular","yes"
"15630",23,"blue-collar","married","primary","no",1158,"yes","no","cellular","no"
"22643",45,"technician","married","secondary","no",115,"yes","no","cellular","no"
"17503",51,"housemaid","married","primary","no",618,"yes","yes","cellular","no"
"19984",52,"management","married","tertiary","no",1295,"yes","no","cellular","no"
"18854",52,"blue-collar","married","secondary","no",184,"yes","no","unknown","no"
"14930",31,"management","married","tertiary","no",4148,"yes","no","cellular","yes"
"16863",29,"technician","married","secondary","no",1180,"yes","no","cellular","yes"
"10960",47,"services","married","secondary","no",49,"yes","no","cellular","no"
"11232",46,"technician","married","secondary","no",198,"yes","no","cellular","no"
"19456",35,"management","single","tertiary","no",1599,"yes","yes","cellular","yes"
"14812",38,"services","married","tertiary","no",-121,"yes","no","unknown","no"
"21190",36,"management","married","tertiary","no",673,"yes","no","cellular","yes"
"11330",43,"technician","divorced","tertiary","no",1088,"no","no","cellular","no"
"19320",39,"self-employed","married","secondary","no",31,"yes","no","unknown","no"
"18839",27,"admin.","single","secondary","no",-34,"no","yes","cellular","no"
"10033",35,"unemployed","single","secondary","no",295,"no","no","unknown","yes"
"11267",32,"management","single","tertiary","no",933,"yes","no","cellular","no"
"12638",52,"admin.","divorced","secondary","no",98,"no","yes","unknown","no"
"15349",25,"self-employed","single","tertiary","no",42,"yes","no","cellular","yes"
"22581",39,"admin.","married","secondary","no",260,"yes","no","cellular","yes"
"13168",46,"technician","single","secondary","no",401,"no","no","unknown","no"
"11461",59,"management","married","tertiary","no",1978,"yes","no","cellular","no"
"11714",46,"blue-collar","married","secondary","no",2173,"yes","no","unknown","no"
"21610",34,"management","married","tertiary","no",2032,"no","no","cellular","no"
"13594",52,"blue-collar","married","primary","no",128,"yes","no","unknown","no"
"13302",24,"blue-collar","single","secondary","no",476,"yes","no","unknown","no"
"16167",28,"admin.","single","secondary","no",6100,"no","no","unknown","no"
"14470",78,"unknown","married","unknown","no",2235,"no","no","telephone","yes"
"11206",51,"housemaid","married","primary","no",137,"no","no","cellular","no"
"19579",59,"retired","divorced","secondary","no",514,"no","no","cellular","yes"
"17190",36,"technician","single","tertiary","no",40,"no","no","cellular","no"
"15271",26,"technician","married","tertiary","no",450,"yes","yes","unknown","no"
"13127",35,"technician","married","secondary","no",254,"no","no","cellular","no"
"20053",46,"technician","married","tertiary","no",-582,"yes","no","cellular","no"
"17488",33,"housemaid","married","primary","no",2054,"no","no","cellular","yes"
"18304",44,"technician","single","secondary","no",244,"yes","no","cellular","yes"
"22049",37,"management","married","tertiary","no",393,"yes","no","cellular","yes"
"14375",51,"admin.","married","secondary","no",227,"no","no","cellular","no"
"20392",39,"technician","single","secondary","no",1435,"no","no","cellular","yes"
"21671",53,"technician","divorced","secondary","no",1301,"yes","no","unknown","no"
"12289",37,"technician","divorced","secondary","no",566,"yes","no","cellular","no"
"17446",58,"retired","married","secondary","no",1604,"yes","no","unknown","no"
"13790",55,"retired","divorced","secondary","no",1580,"no","yes","unknown","yes"
"12131",30,"management","single","tertiary","no",3340,"no","no","cellular","yes"
"21547",36,"blue-collar","married","secondary","no",0,"no","no","cellular","no"
"22610",39,"technician","single","secondary","no",4646,"yes","no","cellular","yes"
"19323",40,"management","single","tertiary","no",1509,"no","no","cellular","no"
"14428",43,"management","married","tertiary","no",3518,"no","no","cellular","yes"
"16639",50,"unemployed","married","secondary","no",1772,"no","no","cellular","no"
"10702",30,"student","single","tertiary","no",7529,"no","no","cellular","yes"
"17428",34,"management","single","unknown","no",6013,"yes","no","cellular","yes"
"22422",49,"housemaid","divorced","primary","no",198,"yes","no","unknown","no"
"13323",32,"management","married","tertiary","no",62,"yes","no","telephone","no"
"10042",44,"management","single","tertiary","no",639,"no","no","cellular","no"
"17645",40,"management","married","tertiary","no",30,"yes","no","cellular","no"
"18321",29,"admin.","single","tertiary","no",200,"yes","no","cellular","no"
"22618",45,"services","married","secondary","no",744,"yes","no","cellular","no"
"15330",55,"services","married","secondary","no",2990,"yes","no","cellular","no"
"12721",27,"blue-collar","single","secondary","no",535,"no","no","cellular","yes"
"16695",36,"services","married","secondary","no",417,"no","yes","telephone","no"
"17132",34,"services","married","secondary","no",295,"yes","yes","cellular","no"
"10808",30,"technician","married","secondary","no",289,"yes","no","cellular","yes"
"17432",37,"technician","married","secondary","no",0,"yes","no","cellular","yes"
"16044",36,"blue-collar","married","secondary","no",79,"yes","yes","cellular","no"
"11706",59,"management","divorced","tertiary","no",6144,"yes","no","cellular","no"
"11935",31,"admin.","married","secondary","no",1661,"yes","no","cellular","no"
"22312",50,"management","married","tertiary","no",161,"no","no","cellular","no"
"12748",41,"management","single","secondary","no",-277,"yes","no","cellular","no"
"19724",39,"technician","married","secondary","no",9121,"no","no","unknown","no"
"12341",26,"blue-collar","single","secondary","no",26,"yes","yes","cellular","yes"
"10215",49,"services","divorced","unknown","no",313,"yes","no","cellular","no"
"21289",23,"services","single","secondary","no",488,"no","no","cellular","yes"
"18414",37,"management","married","tertiary","no",4293,"yes","no","cellular","no"
"18198",43,"services","married","secondary","no",-416,"yes","yes","cellular","no"
"15041",40,"admin.","single","secondary","no",1670,"yes","no","unknown","no"
"13718",61,"retired","married","secondary","no",77,"no","no","cellular","yes"
"10245",43,"services","married","secondary","no",0,"no","no","cellular","no"
"18526",33,"student","single","tertiary","no",71,"no","no","cellular","no"
"18789",37,"admin.","single","secondary","no",16,"no","no","unknown","no"
"14752",26,"student","single","secondary","no",1346,"no","no","cellular","no"
"10449",28,"technician","single","secondary","no",1536,"yes","no","unknown","no"
"19193",26,"services","single","secondary","no",901,"yes","no","unknown","yes"
"18970",46,"housemaid","married","primary","no",238,"no","yes","cellular","no"
"13471",47,"blue-collar","married","secondary","no",820,"no","no","cellular","yes"
"10817",85,"retired","married","primary","no",98,"no","no","cellular","yes"
"19564",52,"self-employed","married","secondary","no",1066,"yes","no","unknown","no"
"16974",36,"technician","married","secondary","no",-78,"yes","no","cellular","no"
"17969",56,"admin.","divorced","secondary","no",1693,"no","no","cellular","yes"
"21873",33,"blue-collar","married","secondary","no",1240,"yes","no","unknown","no"
"18571",46,"technician","married","secondary","no",0,"no","no","cellular","no"
"17002",37,"management","married","tertiary","no",2283,"no","no","cellular","yes"
"12312",48,"services","married","secondary","no",400,"yes","yes","cellular","no"
"12574",40,"blue-collar","single","primary","no",397,"no","no","unknown","no"
"19780",23,"technician","single","unknown","no",710,"yes","no","unknown","no"
"22675",34,"technician","single","secondary","no",85,"yes","no","unknown","yes"
"16949",43,"technician","married","secondary","no",1937,"yes","no","unknown","no"
"22647",44,"management","divorced","tertiary","no",0,"no","no","cellular","no"
"11367",47,"blue-collar","married","primary","yes",0,"no","no","unknown","no"
"15090",28,"management","single","tertiary","no",1466,"yes","no","cellular","no"
"18221",37,"entrepreneur","married","tertiary","no",1649,"no","yes","cellular","yes"
"20334",28,"admin.","single","secondary","no",261,"yes","yes","cellular","yes"
"17581",56,"management","married","tertiary","no",424,"yes","yes","cellular","no"
"13349",45,"blue-collar","married","primary","no",1794,"yes","no","unknown","no"
"17054",27,"self-employed","single","secondary","no",923,"no","no","cellular","no"
"22824",24,"admin.","single","secondary","no",172,"no","no","cellular","no"
"21664",62,"management","married","secondary","no",4562,"yes","no","cellular","yes"
"21000",24,"student","single","tertiary","no",603,"yes","no","cellular","no"
"12624",40,"blue-collar","married","primary","no",137,"no","yes","cellular","no"
"19373",38,"management","single","tertiary","no",455,"yes","no","cellular","yes"
"14694",26,"services","married","secondary","no",77,"yes","no","cellular","yes"
"18521",37,"admin.","married","secondary","no",11303,"no","no","cellular","no"
"15456",34,"technician","married","secondary","no",51,"yes","no","unknown","no"
"11172",57,"technician","married","tertiary","no",4043,"yes","no","cellular","no"
"19807",32,"blue-collar","single","secondary","no",2093,"no","no","cellular","yes"
"21180",55,"admin.","married","secondary","no",1232,"no","no","cellular","no"
"21795",56,"technician","married","secondary","no",225,"yes","no","unknown","no"
"14663",38,"blue-collar","divorced","secondary","no",-138,"yes","no","cellular","no"
"15149",30,"management","married","tertiary","no",314,"no","no","cellular","no"
"17605",46,"blue-collar","married","secondary","no",2603,"yes","yes","cellular","no"
"21497",44,"blue-collar","married","primary","no",103,"yes","no","cellular","no"
"16224",51,"admin.","married","secondary","no",423,"yes","yes","cellular","no"
"19194",32,"technician","married","secondary","no",1547,"no","no","cellular","yes"
"12633",48,"management","single","tertiary","no",5904,"yes","no","cellular","no"
"21414",30,"management","married","tertiary","no",3134,"yes","no","cellular","no"
"11798",31,"entrepreneur","single","tertiary","no",150,"yes","no","unknown","no"
"10923",31,"blue-collar","single","tertiary","no",60,"yes","yes","unknown","no"
"17957",58,"self-employed","divorced","tertiary","no",1382,"no","no","unknown","yes"
"11273",31,"admin.","married","secondary","no",62,"no","no","cellular","no"
"13208",26,"self-employed","single","tertiary","no",1078,"no","no","cellular","no"
"10070",36,"technician","married","secondary","no",30,"no","no","cellular","no"
"22322",58,"blue-collar","married","primary","no",3108,"no","yes","cellular","no"
"14952",32,"blue-collar","married","secondary","no",4,"yes","yes","cellular","no"
"22680",53,"management","married","tertiary","no",15,"no","no","cellular","yes"
"19180",32,"technician","single","tertiary","no",-770,"yes","no","cellular","yes"
"21074",47,"technician","married","secondary","no",-401,"yes","no","unknown","no"
"13297",39,"blue-collar","single","primary","no",446,"yes","no","unknown","no"
"15608",46,"blue-collar","married","primary","no",4602,"yes","no","telephone","no"
"14270",35,"technician","married","secondary","no",222,"yes","no","cellular","no"
"21932",51,"admin.","married","secondary","no",4178,"yes","no","unknown","no"
"11381",42,"management","divorced","secondary","no",283,"yes","no","cellular","yes"
"15700",49,"services","married","secondary","no",823,"no","no","cellular","yes"
"15578",32,"admin.","married","secondary","no",305,"yes","no","unknown","no"
"10553",56,"management","divorced","tertiary","no",0,"no","no","unknown","no"
"13627",55,"management","divorced","tertiary","no",0,"no","no","cellular","yes"
"17492",27,"technician","single","secondary","no",42,"no","no","cellular","no"
"11042",41,"technician","married","secondary","no",0,"no","no","unknown","no"
"15691",54,"management","single","tertiary","no",1464,"yes","yes","unknown","no"
"16256",41,"technician","single","tertiary","no",-89,"yes","no","cellular","no"
"21139",32,"technician","single","secondary","no",1819,"yes","no","cellular","no"
"21148",51,"blue-collar","married","secondary","no",1414,"yes","no","unknown","no"
"10949",59,"admin.","married","secondary","no",3735,"no","no","cellular","yes"
"19158",50,"retired","married","secondary","no",1227,"no","no","cellular","no"
"12429",39,"unknown","married","primary","no",6999,"no","no","cellular","no"
"21382",31,"entrepreneur","single","secondary","no",131,"yes","no","cellular","no"
"11880",26,"student","single","secondary","no",620,"no","no","cellular","no"
"15688",53,"services","married","secondary","no",6170,"no","no","cellular","yes"
"14013",30,"management","single","tertiary","no",147,"no","no","cellular","yes"
"19340",31,"technician","single","secondary","no",775,"no","no","cellular","no"
"13478",30,"admin.","single","secondary","no",223,"yes","no","unknown","yes"
"13228",29,"student","single","tertiary","no",3054,"no","no","cellular","no"
"11178",53,"admin.","married","secondary","no",849,"yes","no","cellular","yes"
"21030",39,"admin.","married","secondary","no",260,"yes","no","cellular","no"
"15998",31,"technician","married","tertiary","no",95,"no","no","cellular","no"
"22220",53,"technician","married","secondary","no",195,"yes","no","cellular","yes"
"19942",32,"blue-collar","single","secondary","no",201,"yes","no","cellular","no"
"10611",33,"services","divorced","secondary","no",44,"no","yes","cellular","yes"
"14906",25,"student","married","tertiary","no",10,"yes","no","cellular","yes"
"20573",26,"blue-collar","single","primary","no",17,"yes","no","cellular","no"
"16612",57,"technician","divorced","secondary","no",910,"yes","no","unknown","no"
"17599",41,"management","married","tertiary","no",5,"yes","no","cellular","no"
"12435",68,"retired","married","unknown","no",3701,"no","no","telephone","no"
"13004",58,"unemployed","divorced","secondary","no",729,"no","yes","cellular","no"
"20933",41,"technician","single","secondary","no",2919,"yes","no","unknown","no"
"13897",31,"management","single","tertiary","no",37,"no","no","cellular","yes"
"21137",54,"technician","married","secondary","no",-315,"no","yes","cellular","yes"
"21936",60,"blue-collar","married","unknown","no",2090,"yes","no","cellular","yes"
"13555",27,"entrepreneur","married","tertiary","no",79,"yes","yes","cellular","no"
"15127",45,"retired","married","secondary","no",900,"yes","no","cellular","no"
"21169",53,"management","married","tertiary","no",0,"no","no","cellular","yes"
"13180",32,"services","married","secondary","no",289,"yes","no","cellular","no"
"20743",58,"admin.","divorced","secondary","no",0,"yes","no","cellular","no"
"12690",46,"self-employed","married","primary","no",3262,"no","no","cellular","no"
"16213",32,"admin.","married","secondary","no",1604,"no","yes","cellular","yes"
"21738",33,"admin.","divorced","secondary","no",335,"yes","no","cellular","no"
"18669",29,"admin.","single","secondary","no",265,"yes","no","cellular","yes"
"16510",41,"management","married","unknown","no",944,"no","no","cellular","no"
"14232",45,"management","divorced","tertiary","no",2307,"no","no","cellular","no"
"10550",34,"admin.","single","tertiary","no",2045,"no","no","cellular","no"
"15371",54,"blue-collar","married","secondary","no",-102,"yes","no","cellular","no"
"22059",24,"student","single","secondary","no",125,"no","no","cellular","yes"
"17074",37,"technician","married","tertiary","no",122,"no","no","cellular","yes"
"21089",30,"management","married","secondary","no",850,"no","no","cellular","yes"
"22055",35,"management","married","tertiary","no",787,"no","no","cellular","no"
"13515",35,"admin.","married","secondary","no",220,"yes","no","cellular","no"
"18538",48,"blue-collar","married","primary","no",214,"yes","yes","cellular","yes"
"20344",32,"management","single","tertiary","no",1410,"yes","no","unknown","no"
"13937",54,"entrepreneur","married","tertiary","no",1129,"no","yes","cellular","no"
"15829",74,"retired","divorced","secondary","no",4079,"no","no","cellular","yes"
"12154",33,"blue-collar","married","primary","no",217,"yes","no","cellular","no"
"20382",39,"management","married","tertiary","no",198,"no","no","cellular","no"
"13148",61,"retired","married","secondary","no",313,"no","yes","unknown","no"
"13375",47,"blue-collar","divorced","primary","no",603,"yes","yes","cellular","yes"
"20470",36,"services","married","secondary","no",0,"no","no","cellular","no"
"16451",81,"retired","married","primary","no",5220,"no","no","telephone","yes"
"13245",44,"self-employed","married","primary","no",4,"no","no","cellular","no"
"12682",39,"blue-collar","married","primary","no",592,"yes","no","unknown","no"
"12496",44,"unemployed","divorced","primary","no",757,"no","no","unknown","no"
"15388",34,"technician","single","unknown","no",4223,"no","yes","cellular","no"
"10507",45,"entrepreneur","married","tertiary","no",2476,"no","no","cellular","no"
"12877",43,"blue-collar","married","secondary","no",2160,"no","no","cellular","yes"
"18208",56,"technician","single","tertiary","no",12539,"no","no","cellular","no"
"15793",40,"technician","divorced","tertiary","no",2611,"yes","no","cellular","no"
"10423",54,"management","divorced","tertiary","no",3777,"no","no","cellular","no"
"20359",60,"services","married","tertiary","no",4256,"yes","no","cellular","yes"
"14079",36,"blue-collar","single","secondary","no",641,"yes","no","cellular","no"
"18370",51,"blue-collar","married","secondary","no",4787,"yes","no","cellular","yes"
"21734",33,"technician","single","tertiary","no",255,"no","no","cellular","no"
"15180",34,"blue-collar","single","secondary","no",39,"no","no","cellular","no"
"15343",72,"retired","married","primary","no",796,"no","no","cellular","no"
"18780",48,"technician","single","tertiary","no",-551,"yes","no","cellular","no"
"12688",32,"blue-collar","married","secondary","no",944,"no","no","cellular","no"
"18272",45,"technician","divorced","secondary","no",159,"yes","no","unknown","no"
"18088",25,"technician","married","tertiary","no",400,"no","no","cellular","no"
"21109",27,"blue-collar","single","primary","no",3955,"yes","no","unknown","no"
"16488",41,"housemaid","married","primary","no",216,"no","no","cellular","no"
"11837",40,"housemaid","married","secondary","no",4136,"yes","no","cellular","no"
"11257",27,"blue-collar","single","primary","no",553,"yes","no","unknown","no"
"11928",28,"student","single","secondary","no",891,"no","no","telephone","no"
"20064",46,"admin.","divorced","secondary","no",1198,"yes","yes","cellular","no"
"21984",59,"services","married","secondary","no",-22,"yes","no","unknown","yes"
"21676",33,"management","single","tertiary","no",4176,"no","no","cellular","yes"
"17552",34,"management","single","primary","no",212,"no","no","unknown","no"
"14602",57,"technician","married","tertiary","no",-1,"no","no","unknown","yes"
"13814",33,"technician","married","tertiary","no",-482,"yes","no","cellular","no"
"16632",37,"management","married","tertiary","no",6771,"no","no","cellular","yes"
"19203",27,"management","single","tertiary","no",-69,"yes","no","cellular","yes"
"13955",46,"admin.","divorced","secondary","no",778,"yes","no","cellular","no"
"11992",48,"admin.","married","unknown","no",3756,"no","no","cellular","no"
"17779",31,"management","married","tertiary","no",1331,"no","no","cellular","yes"
"21713",30,"admin.","divorced","primary","no",1032,"yes","no","unknown","no"
"16823",54,"management","married","tertiary","no",1623,"no","no","cellular","no"
"21025",42,"blue-collar","married","unknown","no",132,"yes","no","unknown","no"
"19498",37,"management","married","tertiary","no",1113,"no","no","cellular","yes"
"20380",51,"services","divorced","secondary","no",65,"no","yes","cellular","yes"
"19063",25,"services","single","secondary","no",-41,"no","yes","cellular","no"
"21853",30,"management","single","tertiary","no",317,"no","no","cellular","no"
"14884",35,"technician","married","tertiary","no",188,"no","no","cellular","no"
"19906",43,"management","married","secondary","no",375,"yes","no","unknown","no"
"16770",32,"blue-collar","single","secondary","no",3201,"yes","no","cellular","no"
"12252",37,"management","married","tertiary","no",115,"no","no","unknown","no"
"20783",55,"technician","married","secondary","no",511,"yes","no","cellular","no"
"17926",39,"management","divorced","tertiary","no",1968,"no","no","cellular","yes"
"14950",61,"management","married","tertiary","no",175,"no","no","telephone","yes"
"11150",55,"management","married","unknown","no",1504,"yes","no","cellular","yes"
"21628",31,"management","single","tertiary","no",5691,"yes","no","cellular","no"
"19878",47,"services","married","secondary","no",1315,"no","no","cellular","yes"
"14077",34,"management","married","tertiary","no",1388,"yes","no","cellular","no"
"14364",36,"blue-collar","married","secondary","no",1088,"yes","no","cellular","no"
"12065",49,"admin.","single","secondary","no",2040,"yes","no","unknown","no"
"15159",45,"admin.","divorced","secondary","no",984,"yes","no","unknown","no"
"20946",30,"management","single","tertiary","no",30,"no","no","cellular","no"
"22304",34,"entrepreneur","married","tertiary","no",146,"yes","no","cellular","yes"
